ID,Name,Class,Cmd ID,Food,Wood,Gold,Stone,Age,Notes
153,Stable (Imperial Age),building-class (903),cmdid-military-building,0,175,0,0,4,
199,Fish Trap,farm-class (949),cmdid-civilian-building,0,100,0,0,1,
209,University (Castle Age),building-class (903),cmdid-civilian-building,0,200,0,0,3,
210,University (Imperial Age),building-class (903),cmdid-civilian-building,0,200,0,0,3,
276,Wonder,building-class (903),cmdid-civilian-building,0,1000,1000,1000,4,
463,House (Feudal Age),building-class (903),cmdid-civilian-building,0,25,0,0,2,
464,House (Castle Age),building-class (903),cmdid-civilian-building,0,25,0,0,3,
465,House (Imperial Age),building-class (903),cmdid-civilian-building,0,25,0,0,4,
498,Barracks (Feudal Age),building-class (903),cmdid-military-building,0,175,0,0,2,
562,Lumber Camp (Dark Age),building-class (903),cmdid-civilian-building,0,100,0,0,1,
563,Lumber Camp (Feudal Age),building-class (903),cmdid-civilian-building,0,100,0,0,2,
564,Lumber Camp (Castle Age),building-class (903),cmdid-civilian-building,0,100,0,0,3,
565,Lumber Camp (Imperial Age),building-class (903),cmdid-civilian-building,0,100,0,0,4,
584,Mining Camp (Dark Age),building-class (903),cmdid-civilian-building,0,100,0,0,1,
585,Mining Camp (Feudal Age),building-class (903),cmdid-civilian-building,0,100,0,0,2,
586,Mining Camp (Castle Age),building-class (903),cmdid-civilian-building,0,100,0,0,3,
587,Mining Camp (Imperial Age),building-class (903),cmdid-civilian-building,0,100,0,0,4,
598,Outpost,building-class (903),cmdid-military-building,0,25,0,5,1,
621,Town Center (Foundation),building-class (903),cmdid-civilian-building,0,275,0,100,1,
1021,Feitoria,building-class (903),cmdid-civilian-building,0,0,350,300,4,
1189,Harbor,building-class (903),cmdid-civilian-building,0,150,0,0,3,Longboats also use projectiles 512 and 524
1251,Krepost,building-class (903),cmdid-military-building,0,0,0,350,3,
1711,Folwark (Feudal Age),building-class (903),cmdid-civilian-building,0,100,0,0,2,Use 'mill' to build and count folwarks
1720,Folwark (Castle Age),building-class (903),cmdid-civilian-building,0,100,0,0,3,Use 'mill' to build and count folwarks
1734,Folwark (Dark Age),building-class (903),cmdid-civilian-building,0,100,0,0,1,Use 'mill' to build and count folwarks
1754,Caravanserai,building-class (903),cmdid-civilian-building,0,175,0,50,4,
1806,Fortified Church,building-class (903),cmdid-civilian-building,0,200,0,0,3,Use 'monastery' to build and count fortified churches
1808,Mule Cart,building-class (903),cmdid-civilian-building,20,80,0,0,1,
2556,Settlement (Dark Age),building-class (903),cmdid-civilian-building,0,125,0,0,1,
2558,Settlement (Feudal Age),building-class (903),cmdid-civilian-building,0,125,0,0,2,
2560,Settlement (Castle Age),building-class (903),cmdid-civilian-building,0,125,0,0,1,
