ID,Name,Type,Type2,Building,Age,Food,Wood,Gold,Total Cost,Build Time,Attack Speed,Delay,Movement Speed,LOS,HP,Min.range,Range,Damage,Accuracy,Melee Armor,Pierce Armor,Abilities,Notes
185,Slinger,Archer,,Archery Range,Castle,30,0,40,70,25,2,0.775,0.96,7,40,1,5,5,90%,0,0,,
207,Imperial Camel,Cavalry,,Stable,Imperial,55,0,60,115,20,2,0,1.45,5,140,,-,9,100%,0,0,,
232,Woad Raider,Infantry,,Unique,Castle,65,0,25,90,10,2,0,1.38,3,65,,-,8,100%,0,1,,
239,War Elephant,Cavalry,,Unique,Castle,200,0,75,275,31,2,0,0.6,4,450,,-,15,100%,1,2,,
250,Longboat,Ship,,Dock,Castle,0,85,43,128,25,3,0,1.54,8,130,,6,7,100%,0,6,,Harbors also use projectiles 512 and 525
279,Scorpion,Siege,,Siege Workshop,Castle,0,75,75,150,30,3.6,0.21,0.65,9,40,2,7,12,100%,0,7,,
280,Mangonel,Siege,,Siege Workshop,Castle,0,160,135,295,46,6,0,0.6,9,50,3,7,40,100%,0,6,,
281,Throwing Axeman,Infantry,,Unique,Castle,55,0,25,80,17,2,1,1,5,60,,3,7,100%,0,0,,
282,Mameluke,Cavalry,,Unique,Castle,55,0,85,140,23,2,0.6,1.4,5,65,,3,8,100%,0,0,,
283,Cavalier,Cavalry,,Stable,Imperial,60,0,75,135,30,1.8,0,1.35,4,120,,-,12,100%,2,2,,
291,Samurai,Infantry,,Unique,Castle,60,0,30,90,9,1.425,0,1,4,60,,-,8,100%,1,1,,
293,Villager,Civilian,,Town Center,Dark,50,0,0,50,25,2,0,0.8,4,25,,-,3,100%,0,0,,
329,Camel,Cavalry,,Stable,Castle,55,0,60,115,22,2,0,1.45,4,100,,-,6,100%,0,0,,Can be controlled.
330,Heavy Camel,Cavalry,,Stable,Imperial,55,0,60,115,22,2,0,1.45,5,120,,-,7,100%,0,0,,
331,Trebuchet,Siege,,Castle,Imperial,0,200,200,400,50,10,0.6,0.8,18,150,4,16,200,80%,1,150,,
358,Pikeman,Infantry,,Barracks,Castle,35,25,0,60,22,3,0,1,4,55,,-,4,100%,0,0,,
359,Halberdier,Infantry,,Barracks,Imperial,35,25,0,60,22,3,0,1,4,60,,-,6,100%,0,0,,
420,Cannon Galleon,Ship,Gunpowder,Dock,Imperial,0,200,150,350,46,10,0,1.1,15,120,3,13,35,50%,0,6,,Requires Chemistry
422,Capped Ram,Siege,,Siege Workshop,Imperial,0,160,75,235,36,5,0,0.5,3,200,,0,3,100%,0,190,,Available in Castle Age for Cumans
434,King,Civilian,,Castle,Dark,50,0,0,50,30,-,-,1.32,6,75,,-,-,100%,0,0,,
440,Petard,Siege,Suicide,Castle,Castle,65,0,20,85,25,-,0,0.8,4,50,,-,25,100%,0,2,Dies on impact,
441,Hussar,Cavalry,,Stable,Imperial,80,0,0,80,30,1.9,0,1.5,10,75,,-,7,100%,0,2,,Starting hussars in scenarios are cavalry-class
442,Galleon,Ship,,Dock,Imperial,0,90,30,120,36,3,0,1.43,9,165,,7,8,100%,0,8,,War wagons also use projectiles 373 and 471
448,Scout Cavalry,Cavalry,,Stable,Dark,0,0,0,0,0,2,0,1.2,4,45,,-,3,100%,0,2,,
448,Scout Cavalry,Cavalry,,Stable,Feudal,80,0,0,80,30,2.04,0,1.55,6,45,,-,5,100%,0,2,,
453,Shotel Warrior,Infantry,,Unique,Castle,50,0,35,85,8,2,0,1.2,3,40,,-,16,100%,0,0,,
459,Elite Shotel Warrior,Infantry,,Unique,Imperial,50,0,35,85,8,2,0,1.2,3,50,,-,18,100%,0,1,,
473,Two-handed Swordsman,Infantry,,Barracks,Imperial,60,0,20,80,21,2,0,0.9,5,60,,-,12,100%,0,1,,
474,Heavy Cavalry Archer,Archer,Cavalry,Archery Range,Imperial,0,40,60,100,27,2,1,1.4,6,60,,4,7,50%,1,0,,
492,Arbalest,Archer,,Archery Range,Imperial,0,25,45,70,27,2,0.35,0.96,7,40,,5,6,90%,0,0,,Renamed Arbalester in DE
527,Demolition Ship,Ship,Suicide,Dock,Castle,0,70,50,120,31,-,0,1.6,6,60,,-,110,100%,0,3,Dies on impact,
528,Heavy Demolition Ship,Ship,,Dock,Imperial,0,70,50,120,31,-,0,1.6,6,70,,-,140,100%,0,3,,
529,Fire Ship,Ship,,Dock,Castle,0,75,45,120,36,0.25,0,1.35,5,120,,2.49,2,100%,0,6,,
530,Elite Longbowman,Archer,,Unique,Imperial,0,35,40,75,18,2,0.5,0.96,10,40,,8,7,80%,0,1,,
531,Elite Throwing Axeman,Infantry,,Unique,Imperial,55,0,25,80,17,2,0.8,1,6,70,,4,8,100%,1,0,,
532,Fast Fire Ship,Ship,,Dock,Imperial,0,75,45,120,36,0.25,0,1.43,6,140,,2.49,3,100%,0,8,,
533,Elite Longboat,Ship,,Dock,Imperial,0,80,40,120,25,3,0,1.54,9,160,,7,8,100%,0,8,,Harbors also use projectiles 512 and 526
534,Elite Woad Raider,Infantry,,Unique,Imperial,65,0,25,90,10,2,0,1.38,5,80,,-,13,100%,0,1,,
539,Galley,Ship,,Dock,Feudal,0,90,30,120,60,3,0,1.43,7,120,,5,6,100%,0,6,,
542,Heavy Scorpion,Siege,,Siege Workshop,Imperial,0,75,75,150,30,3.6,0.21,0.65,9,50,2,7,16,100%,0,7,,
545,Transport Ship,Ship,,Dock,Dark,0,125,0,125,45,-,0,1.45,5,100,,-,-,100%,4,8,,"Available in Dark Age in HD, DE"
546,Light Cavalry,Cavalry,,Stable,Castle,80,0,0,80,30,2,0,1.5,8,60,,-,7,100%,0,2,,Starting light cavalry in scenarios are cavalry-class
548,Siege Ram,Siege,,Siege Workshop,Imperial,0,160,75,235,36,5,0,0.6,3,270,,0,4,100%,0,195,,
550,Onager,Siege,,Siege Workshop,Imperial,0,160,135,295,46,6,0,0.6,10,60,3,8,50,100%,0,7,,
553,Elite Cataphract,Cavalry,,Unique,Imperial,70,0,75,145,20,1.7,0,1.35,5,150,,-,12,100%,2,1,,
554,Elite Teutonic Knight,Infantry,,Unique,Imperial,85,0,40,125,12,2,0,0.7,5,100,,-,17,100%,10,2,,
555,Elite Huskarl,Infantry,,Unique,Imperial,52,0,26,78,16,2,0,1.05,5,70,,-,12,100%,0,8,,
556,Elite Mameluke,Cavalry,,Unique,Imperial,55,0,85,140,23,2,0.5,1.4,5,80,,3,10,100%,1,0,,
557,Elite Janissary,Gunpowder,,Unique,Imperial,60,0,55,115,17,3.45,0,0.96,10,50,,8,22,50%,2,0,,
558,Elite War Elephant,Cavalry,,Unique,Imperial,200,0,75,275,31,2,0,0.6,5,600,,-,20,100%,1,3,,
559,Elite Chu Ko Nu,Archer,,Unique,Imperial,0,40,35,75,13,3.75,0.21,0.96,6,50,,4,8,85%,0,0,,Kipchaks also use projectile 510
560,Elite Samurai,Infantry,,Unique,Imperial,60,0,30,90,9,1.425,0,1,5,80,,-,12,100%,1,1,,
561,Elite Mangudai,Archer,Cavalry,Unique,Imperial,0,55,65,120,26,1.68,0.5,1.45,6,60,,4,8,95%,1,0,,
567,Champion,Infantry,,Barracks,Imperial,60,0,20,80,21,2,0,0.9,5,70,,-,13,100%,1,1,,
569,Paladin,Cavalry,,Stable,Imperial,60,0,75,135,30,1.9,0,1.35,5,160,,-,14,100%,2,3,,
588,Siege Onager,Siege,,Siege Workshop,Imperial,0,160,135,295,46,6,0,0.6,10,70,3,8,75,100%,0,8,,
691,Elite Cannon Galleon,Ship,Gunpowder,Dock,Imperial,0,200,150,350,46,10,0,1.1,17,150,3,15,45,50%,0,8,,Requires Chemistry
692,Berserk,Infantry,,Unique,Castle,65,0,25,90,14,2,0,1.05,3,61,,-,9,100%,0,1,,
694,Elite Berserk,Infantry,,Unique,Imperial,65,0,25,90,14,2,0,1.05,5,75,,-,14,100%,2,1,,
725,Jaguar Warrior,Infantry,,Unique,Castle,60,0,30,90,17,2,0,1,3,50,,-,10,100%,1,1,,
726,Elite Jaguar Warrior,Infantry,,Unique,Imperial,60,0,30,90,17,2,0,1,5,75,,-,12,100%,2,1,,
751,Eagle Scout,Infantry,,Barracks,Feudal,20,0,50,70,60,2,0,1.1,6,50,,-,4,100%,0,2,,
752,Elite Eagle Warrior,Infantry,,Barracks,Imperial,20,0,50,70,20,2,0,1.3,6,60,,-,9,100%,0,4,,
753,Eagle Warrior,Infantry,,Barracks,Castle,20,0,50,70,35,2,0,1.15,6,55,,-,7,100%,0,3,,This is not the same as the base eagle warrior in The Conquerors.
755,Tarkan,Cavalry,,Stable,Castle,60,0,60,120,21.7,2.1,0,1.35,5,100,,-,8,100%,1,3,,Can be counted with tarkan-set
755,Tarkan,Cavalry,,Unique,Castle,60,0,60,120,14,2.1,0,1.35,5,100,,-,8,100%,1,3,,Can be counted with tarkan-set
757,Elite Tarkan,Cavalry,,Stable,Castle,60,0,60,120,20,2.1,0,1.35,7,150,,-,11,100%,1,4,,Can be counted with tarkan-set
757,Elite Tarkan,Cavalry,,Unique,Castle,60,0,60,120,14,2.1,0,1.35,7,150,,-,11,100%,1,4,,Can be counted with tarkan-set
763,Plumed Archer,Archer,,Unique,Castle,0,40,40,80,16,1.9,0.5,1.2,6,50,,4,5,80%,0,1,,
765,Elite Plumed Archer,Archer,,Unique,Castle,0,35,35,70,16,1.9,0.5,1.2,7,65,,5,5,80%,0,2,,
771,Conquistador,Gunpowder,Cavalry,Unique,Castle,60,0,70,130,24,2.9,0.4,1.3,8,55,,6,16,65%,2,2,,
773,Elite Conquistador,Gunpowder,Cavalry,Unique,Imperial,60,0,70,130,24,2.9,0.4,1.3,8,70,,6,18,70%,2,2,,
775,Missionary,Monk,Cavalry,Monastery,Castle,0,0,100,100,51,-,0,1.1,9,30,,7,0,100%,0,0,,
827,War Wagon,Archer,Cavalry,Unique,Castle,0,110,60,170,21,2.5,1,1.2,6,150,,4,9,100%,0,3,,Galleons also use projectiles 373 and 471
829,Elite War Wagon,Archer,Cavalry,Unique,Imperial,0,110,60,170,21,2.5,1,1.2,8,200,,5,9,100%,0,4,,Galleons also use projectiles 373 and 472
831,Turtle Ship,Ship,Gunpowder,Dock,Castle,0,180,180,360,50,6,0,0.9,8,200,,6,50,100%,6,5,,
832,Elite Turtle Ship,Ship,Gunpowder,Dock,Imperial,0,180,180,360,50,6,0,0.9,8,300,,6,50,100%,8,6,,
866,Genoese Crossbowman,Archer,,Unique,Castle,45,0,45,90,22,3,0.5,0.96,8,45,,4,6,100%,1,0,,
868,Elite Genoese Crossbowman,Archer,,Unique,Castle,45,0,45,90,19,2,0.5,0.96,8,50,,4,6,100%,1,0,,
869,Magyar Huszar,Cavalry,,Unique,Castle,80,0,10,90,16,1.8,0,1.5,5,70,,-,9,100%,0,2,,
871,Elite Magyar Huszar,Cavalry,,Unique,Imperial,80,0,10,90,16,1.8,0,1.5,6,85,,-,10,100%,0,2,,
873,Elephant Archer,Archer,Cavalry,Unique,Castle,100,0,70,180,25,2,0.394,0.8,7,280,,4,6,100%,0,3,,Was Indians unique unit in HD/WK
875,Elite Elephant Archer,Archer,Cavalry,Unique,Imperial,100,0,70,180,25,2,0.394,0.8,7,330,,4,7,100%,0,3,,Was Indians unique unit in HD/WK
876,Boyar,Cavalry,,Unique,Castle,50,0,80,130,23,1.9,0,1.4,5,100,,-,12,100%,4,1,,
878,Elite Boyar,Cavalry,,Unique,Imperial,50,0,80,130,20,1.9,0,1.4,5,130,,-,14,100%,6,2,,
879,Kamayuk,Infantry,,Unique,Castle,60,0,30,90,10,2,0,1,4,60,,1,7,100%,0,0,,
881,Elite Kamayuk,Infantry,,Unique,Imperial,60,0,30,90,10,2,0,1,5,80,,1,8,100%,1,0,,
882,Condottiero,Infantry,,Barracks,Imperial,50,0,35,85,18,1.9,0,1.2,6,80,,-,9,100%,1,0,,"In WK, must use ID 184 for can-train and train commands"
1001,Organ Gun,Siege,Gunpowder,Unique,Castle,0,80,60,140,21,3.45,0.6,0.85,9,60,1,7,16,50%,2,4,,
1003,Elite Organ Gun,Siege,Gunpowder,Unique,Imperial,0,80,60,140,21,3.45,0.6,0.85,9,70,1,7,20,50%,2,6,,
1004,Caravel,Ship,,Dock,Castle,0,90,40,130,36,3,0,1.43,9,143,,6,6,100%,0,8,,
1006,Elite Caravel,Ship,,Dock,Imperial,0,90,40,130,36,3,0,1.43,9,165,,7,8,100%,0,8,,
1007,Camel Archer,Archer,Cavalry,Unique,Castle,0,50,60,110,21,2,0.625,1.4,5,55,,4,7,95%,0,1,,
1009,Elite Camel Archer,Archer,Cavalry,Unique,Imperial,0,50,60,110,21,2,0.625,1.4,5,60,,4,8,95%,1,1,,
1010,Genitour,Archer,Cavalry,Archery Range,Castle,50,35,0,85,25,3,0.5,1.35,5,50,1,4,3,90%,0,3,,"In WK, must use ID 732 for can-train and train commands"
1012,Elite Genitour,Archer,Cavalry,Archery Range,Imperial,50,35,0,85,23,3,0.5,1.35,6,55,1,4,4,90%,0,4,,"In WK, must use ID 732 for can-train and train commands"
1013,Gbeto,Infantry,,Unique,Castle,50,0,40,90,17,2,1.2,1.25,6,30,,5,10,100%,0,0,,
1015,Elite Gbeto,Infantry,,Unique,Imperial,50,0,40,90,17,2,1.2,1.25,6,45,,6,13,100%,0,0,,
1103,Fire Galley,Ship,,Dock,Feudal,0,75,45,120,60,0.25,0,1.3,5,100,,2.49,1,100%,0,4,,"In WK, the Fire Galley has the same ID as the AoC Fire Ship, and it's defined as ""fire-ship""."
1104,Demolition Raft,Ship,Suicide,Dock,Feudal,0,70,50,120,45,-,0,1.5,6,45,,-,90,100%,0,2,Dies on impact,"In WK, the Demolition Raft has the same ID as the AoC Demolition Ship, and it's defined as ""demolition-ship"""
1105,Siege Tower,Siege,,Siege Workshop,Castle,0,200,160,360,36,-,-,0.8,8,220,,-,-,100%,-2,100,,cmdid 12 is cmdid-siege-tower. cmdid-siege-tower must be defined in your AI script before it can be used.
1120,Ballista Elephant,Cavalry,Siege,Unique,Castle,100,0,80,180,25,2.5,0.394,0.8,7,250,,5,8,100%,0,3,,
1122,Elite Ballista Elephant,Cavalry,Siege,Unique,Imperial,100,0,80,180,25,2.5,0.394,0.8,7,290,,5,9,100%,0,3,,
1123,Karambit Warrior,Infantry,,Unique,Castle,30,0,15,45,6,2,0,1.2,3,30,,-,6,100%,0,1,,
1125,Elite Karambit Warrior,Infantry,,Unique,Imperial,30,0,15,45,6,2,0,1.2,3,40,,-,7,100%,1,1,,
1126,Arambai,Archer,Cavalry,Unique,Castle,0,80,60,140,21,2,0.7,1.3,7,60,,5,18,20%,0,1,,
1128,Elite Arambai,Archer,Cavalry,Unique,Imperial,0,80,60,140,21,2,0.7,1.3,7,65,,5,20,30%,0,2,,
1129,Rattan Archer,Archer,,Unique,Castle,0,50,45,95,16,2,0.675,1.1,6,40,,4,6,80%,0,4,,
1131,Elite Rattan Archer,Archer,,Unique,Imperial,0,50,45,95,16,2,0.675,1.1,6,45,,5,7,90%,0,6,,
1132,Battle Elephant,Cavalry,,Stable,Castle,120,0,70,190,28,2,0,0.85,4,250,,-,12,100%,1,2,,
1134,Elite Battle Elephant,Cavalry,,Stable,Castle,120,0,70,190,28,2,0,0.85,5,300,,-,16,100%,1,3,,
1155,Imperial Skirmisher,Archer,,Archery Range,Imperial,25,35,0,60,22,3,0.5,0.96,7,35,1,5,4,90%,0,4,,
1225,Konnik,Cavalry,,Unique,Castle,60,,70,70,19,2.4,0,1.35,5,100,,-,12,100%,2,1,"When killed, will change in a dismounted konnik after 3 seconds",Can be counted with konnik-set
1227,Elite Konnik,Cavalry,,Unique,Imperial,60,,70,70,19,2.4,0,1.35,5,120,,-,14,100%,2,2,"When killed, will change in a dismounted konnik after 3 seconds",Can be counted with konnik-set
1228,Keshik,Cavalry,,Unique,Castle,50,40,,40,16,1.9,0,1.4,5,110,,-,9,100%,1,2,Generates 0.367 gold per second when attacking enemy units,
1230,Elite Keshik,Cavalry,,Unique,Imperial,50,40,,40,14,1.9,0,1.4,5,140,,-,11,100%,1,3,Generates 0.367 gold per second when attacking enemy units,
1231,Kipchak,Archer,Cavalry,Unique,Castle,,35,60,95,20,2.2,0,1.4,6,40,,4,4,90%,0,0,"Fires three (four when Elite) arrows at once. First arrow deals full damage, other arrows deal 1 pierce and 0 melee damage.","Can be counted with kipchak-set, Chu Ko Nus also use projectile 510"
1233,Elite Kipchak,Archer,Cavalry,Unique,Imperial,,35,60,95,20,2.2,0,1.4,6,45,,4,5,90%,0,0,"Fires three (four when Elite) arrows at once. First arrow deals full damage, other arrows deal 1 pierce and 0 melee damage.","Can be counted with kipchak-set, Chu Ko Nus also use projectile 511"
1234,Leitis,Cavalry,,Unique,Castle,70,50,,50,20,1.9,0,1.4,5,100,,-,12,100%,1,2,"Attack ignores armor, captured relic adds +1 damage (max 4)",
1236,Elite Leitis,Cavalry,,Unique,Imperial,70,50,,50,18,1.9,0,1.4,5,100,,-,14,100%,2,2,"Attack ignores armor, captured relic adds +1 damage (max 4)",
1252,Dismounted Konnik,Infantry,,Unique,Castle,,,,0,,,,0.9,7,45,,-,12,100%,0,0,Spawns from a killed Konnik,Can be counted with konnik-set
1253,Elite Dismounted Konnik,Infantry,,Unique,Imperial,,,,0,,,,0.9,7,50,,-,13,100%,0,1,Spawns from a killed Konnik,Can be counted with konnik-set
1263,Flaming Camel,Suicide,,Unique,Imperial,75,30,,30,20,,,1.3,4,55,,,20,100%,0,0,Dies on impact,
